Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-facultative spinose,symbiont-obligate spinose,undetermined non-spinose
SO189-144KL,forcens_lgm,,1.155,98.066,56,23,0,25,154,0,163,3
SO189-39KL,forcens_lgm,,-0.79,99.9085,89,29,0,40,272,0,226,8
SO201-2-77KL,forcens_lgm,2.54,56.3305,170.7,464,152,2,0,0,0,1,0
SO201-2-77KL,forcens_lgm,2.74,56.3305,170.7,324,107,0,0,0,0,0,0
SO201-2-85KL,forcens_lgm,1.35,57.505,170.413167,373,111,0,0,0,0,0,0
SO36-07,forcens_lgm,0.73,-42.25,144.75,162,128,0,0,63,0,19,0
SO36-21,forcens_lgm,0.2,-43.8,145.5,75,144,0,0,75,0,5,0
SO36-39,forcens_lgm,0.3,-45.87,145.99,119,119,0,0,55,0,0,0
SO36-47,forcens_lgm,0.5,-46.87,145.98,115,130,0,0,60,0,0,0
SP08-004,forcens_lgm,30,32.818,-18.518,138,152,0,0,182,3,157,0
SU8107,forcens_lgm,,35.57,-3.48,1867,718,0,1,151,0,12,0
SU92-03,forcens_lgm,,43.196,10.113,1186,804,1,27,629,0,174,0
T87/2/20G,forcens_lgm,,34.97,23.75,245,99,0,1,74,0,199,0
T89-40,forcens_lgm,,-21.6,6.783333333,101,80,0,3,91,0,37,1
U938,forcens_lgm,1.3,-45.075,179.4983333,182,45,0,0,100,0,0,0
V  28294,forcens_lgm,4,28.433,139.967,519,280,0,34,489,0,886,1
V  28304,forcens_lgm,45,28.533,134.133,235,179,0,5,350,0,425,2
V  32139,forcens_lgm,1,31.567,151.1,70,31,0,0,260,0,41,2
V 19-53,forcens_lgm,45,-17.017,-113.517,191,3,0,5,237,0,67,65
V 19-55,forcens_lgm,23,-17,-114.183,67,72,1,58,784,5,609,87
V 19-64,forcens_lgm,15,-16.933,-121.2,16,25,0,35,367,1,427,20
V 19-65,forcens_lgm,15,-16.65,-124.383,83,21,0,22,595,5,716,51
V 19-96,forcens_lgm,15,0.867,172,26,33,0,1,168,0,80,2
V 20-11,forcens_lgm,20,47.95,168.783,387,40,0,0,0,0,1,0
V 21-14,forcens_lgm,70,37.683,163.033,96,29,0,0,275,0,3,0
V 21-30,forcens_lgm,250,-1.217,-89.683,277,713,0,7,500,0,51,0
V 21-33,forcens_lgm,45,-3.8,-92.083,130,74,0,0,391,0,6,0
V 28-23,forcens_lgm,20,-5.5,166.75,14,71,0,24,318,0,472,1
V 28-24,forcens_lgm,20,11.067,138.533,11,104,0,64,214,0,1261,1
V 32126,forcens_lgm,25,35.317,177.9,228,193,0,0,213,0,24,3
V04-008,forcens_lgm,50,37.218,-33.134,191,154,0,15,165,0,106,1
V04-032,forcens_lgm,30,35.05,-11.617,134,68,0,8,93,1,117,0
V10-49,forcens_lgm,,36.083,26.833,227,36,0,1,82,0,2,0
V10-51,forcens_lgm,,35.917,27.3,535,148,0,1,126,0,6,0
